Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,log_duration_in min/ms,log_acousticness
1,Marina Maximilian,Not Afraid,37.0,0.334,0.536,9.0,-6.649,0,0.0381,0.378,0.0001215,0.106,0.235,152.429,204947.0,4,9,12.230511567407191,0.32063317259146684
2,The Black Keys,Howlin' for You,67.0,0.725,0.747,11.0,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,191956.0,4,6,12.165026667594173,0.026836653953559674
3,Royal & the Serpent,phuck u,50.18,0.584,0.804,7.0,-6.094,1,0.0619,0.000968,0.635,0.284,0.635,159.953,161037.0,4,10,11.989395640961838,0.000967531790127077
4,Detroit Blues Band,Missing You,12.0,0.515,0.308,Unknown,-14.711,1,0.0312,0.907,0.0213,0.3,0.501,172.472,298093.0,3,2,12.6051641519896,0.645531326618282
5,Coast Contra,My Lady,48.0,0.565,0.777,6.0,-5.096,0,0.249,0.183,0.000101,0.211,0.619,88.311,254145.0,4,5,12.445664184014227,0.1680535849962497
6,Beck,Fuckin With My Head (Mountain Dew Rock),38.0,0.657,0.813,7.0,-7.861,1,0.216,0.00834,0.0492,0.208,0.589,82.035,219587.0,4,10,12.299508342315688,0.008305414363086693
7,Shadow and Light,Blue,11.0,0.658,0.431,1.0,-12.718,0,0.03,0.615,0.292,0.0902,0.528,132.045,3.893933333,5,0,1.5879963427372596,0.47933495667461984
8,Within The Ruins,Devil In Me,45.0,0.441,0.99,7.0,-2.934,1,0.239,7.25e-05,0.000147,0.382,0.0478,139.931,213125.0,4,8,12.269638819091021,7.249737200201913e-05
9,Crazy Cavan,My Little Sister Gotta Motorbike,38.0,0.446,0.816,9.0,-9.762,1,0.0766,0.318,0.001565,0.339,0.718,183.696,165293.0,4,10,12.015480985509686,0.27611543608031547
10,Day Sulan,Bailar,58.0,0.852,0.535,7.0,-5.94,0,0.0896,0.439,8.18e-05,0.246,0.483,103.007,205056.0,4,5,12.231043268252634,0.36394842790523074
11,Dierks Bentley,What Was I Thinkin',68.0,0.551,0.825,5.0,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,4.347116667,4,4,1.676557474879486,0.1414995622736995
12,Elderbrook,My House,51.0,0.856,0.605,6.0,-7.691,0,0.048,0.0202,0.833,0.0661,0.6,123.998,181935.0,4,6,12.111410255864504,0.019998686506689126
13,Alter Bridge,Blackbird,57.0,0.279,0.806,6.0,-4.714,0,0.0448,0.00499,0.0126,0.116,0.132,149.463,478133.0,3,8,13.077646306915188,0.004977591212778801
14,Thieves Like Us,Drugs in My Body - Designer Drugs Remix,19.0,0.751,0.624,7.0,-3.366,1,0.0519,0.000117,0.0566,0.305,0.71,125.854,279360.0,4,6,12.540260131237506,0.00011699315603382415
15,"Kelsea Ballerini, Kenny Chesney",half of my hometown (feat. Kenny Chesney),70.0,0.571,0.618,10.0,-4.966,1,0.0445,0.147,5.335e-05,0.159,0.288,138.03,3.863866667,4,4,1.5818337320759732,0.13714983814723364
16,DJ Enimoney,Sugar Daddy,47.0,0.9010499999999992,0.559,1.0,-10.883,1,0.0876,0.0205,0.509,0.103,0.412,114.005,153684.0,4,9,11.942660332051132,0.020292703267762432
17,Attawalpa,Done Hanging On - Joel Wolf Alice Remix,25.0,0.529,0.726,5.0,-4.603,1,0.0908,0.0426,0.886,0.0649,0.36,130.034,285074.0,4,6,12.56050758252556,0.0417175933518685
18,Foo Fighters,Run,61.0,0.365,0.892,4.0,-8.036,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,323373.0,4,10,12.686564827098547,3.309945220708793e-05
19,The Collective Projekt,Dama Dam Mast Kalandar,10.0,0.232,0.895,2.0,-2.834,1,0.0517,0.66,0.00124,0.124,0.343,175.443,5.227266667,4,0,1.828937499286854,0.5068176023684519
20,Mohammed Rafi,All Line Clear,4.0,0.525,0.395,6.0,-9.291,1,0.0771,0.679,0.00125,0.227,0.889,124.537,3.398883333,4,3,1.4813507207600576,0.5181983780954038
21,Die Apokalyptischen Reiter,Ghostriders in the Sky,50.0,0.417,0.958,5.0,-3.604,0,0.122,0.00592,0.000255,0.11,0.176,129.933,211096.0,4,8,12.260073022461153,0.005902545652613905
22,Volbeat,A Warrior's Call,62.0,0.374,0.903,10.0,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,263080.0,3,10,12.480217248533195,0.0007497188905459458
23,Danny Weissfeld,חול הים,28.0,0.432,0.586,7.0,-7.618,1,0.0277,0.435,4.86e-06,0.144,0.193,81.924,209746.0,4,9,12.253657321485809,0.3611648492115844
24,Metric,Combat Baby,51.0,0.649,0.914,9.0,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760.0,4,10,12.253724066339329,0.005713645992568686
25,Tyla Yaweh,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,62.0,0.504,0.597,10.0,-6.237,1,0.1,0.206,0.001565,0.0949,0.557,117.974,230489.0,4,10,12.34796275652979,0.1873090983049937
26,Underoath,A Boy Brushed Red Living In Black And White,62.0,0.419,0.932,1.0,-3.604,0,0.106,0.00171,0.0254,0.137,0.445,169.881,268000.0,4,8,12.498745990829315,0.0017085396146023298
27,Adi-Keshet Cohen,Requiem,14.0,0.488,0.585,1.0,-8.935,1,0.0365,0.499,0.0221,0.111,0.204,135.429,195923.0,4,6,12.185482107914165,0.40479821912046066
