Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
1,Marina Maximilian,Not Afraid,-0.30434782608695654,-0.9336283185840707,-0.4617563739376769,9.0,0.08329524680073137,-1.0,-0.18633540372670812,0.6826676461093992,0.0,-0.14490470940305564,-0.6581769436997318,0.7672333592088034,-0.045761238702512294,0.0,9
2,The Black Keys,Howlin' for You,1.0,0.79646017699115,0.1359773371104817,11.0,0.33558043875685567,0.0,0.8385093167701863,-0.14498478368874676,0.7482767646802199,-0.15750511891636482,-0.26943699731903475,0.3048406880899754,-0.20102579898673215,0.0,6
3,Royal & the Serpent,phuck u,0.08565217391304343,0.17256637168141556,0.2974504249291787,7.0,0.21012340036563074,0.0,0.3064182194616976,-0.21786053427481086,11.012651601081929,0.9765317372814615,0.41420911528150134,0.9455726280983903,-0.6174465952343948,0.0,10
4,Detroit Blues Band,Missing You,-1.391304347826087,-0.1327433628318585,-1.1076487252124645,Unknown,-1.759026508226691,0.0,-0.32919254658385105,1.5979363084608347,0.3032894162813018,1.077335013387935,0.05495978552278825,1.2423069857842939,0.8425392545505884,-1.0,2
5,Coast Contra,My Lady,0.17391304347826086,0.0884955752212385,0.2209631728045328,6.0,0.43818555758683736,-1.0,4.180124223602485,0.2528365950259816,0.0,0.5166167900456764,0.371313672922252,-0.7525376725113626,0.46436516458855087,0.0,5
6,Beck,Fuckin With My Head (Mountain Dew Rock),-0.2608695652173913,0.49557522123893794,0.32294617563739375,7.0,-0.19367001828153546,0.0,3.4968944099378882,-0.19718902880823827,0.790157926882471,0.4977161757757126,0.29088471849865943,-0.9012959462422304,0.11782997007669616,0.0,10
7,Shadow and Light,Blue,-1.434782608695652,0.4999999999999999,-0.7592067988668555,1.0,-1.303587751371115,-1.0,-0.35403726708074545,1.1297455006009496,5.027135503010208,-0.24444794455819815,0.12734584450402153,0.2840771049497203,-25.279142543318844,1.0,0
8,Within The Ruins,Devil In Me,0.043478260869565216,-0.4601769911504426,0.8243626062322947,7.0,0.9322440585009141,0.0,3.9730848861283645,-0.22038193042459694,-0.06584067707878893,1.5939518034336115,-1.160053619302949,0.47099675865297475,0.047009393079261094,0.0,8
9,Crazy Cavan,My Little Sister Gotta Motorbike,-0.2608695652173913,-0.4380530973451328,0.3314447592067989,9.0,-0.6280850091407678,0.0,0.6107660455486542,0.5572569946714958,0.0,1.3230429988974644,0.6367292225201071,1.5083463204489298,-0.5555982979529069,0.0,10
10,Day Sulan,Bailar,0.6086956521739131,1.3584070796460173,-0.4645892351274786,7.0,0.24531535648994515,-1.0,0.8799171842650103,0.804690794899489,-0.06697844865195009,0.7371239565285871,0.006702412868632713,-0.4042024923410585,-0.04450057711173155,0.0,5
11,Dierks Bentley,What Was I Thinkin',1.0434782608695652,0.026548672566371702,0.3569405099150142,5.0,0.17675959780621578,-1.0,-0.06418219461697734,0.17803141513778742,-0.068297705261321,-0.1833359584186486,1.2131367292225201,1.0618107693310501,-25.069164284520287,0.0,4
12,Elderbrook,My House,0.30434782608695654,1.376106194690265,-0.2662889518413597,6.0,-0.15482175502742213,-1.0,0.01863354037267077,-0.16424798121920525,14.467847482767645,-0.39628287919357374,0.32037533512064337,0.09334131324922827,-0.32815019888647473,0.0,6
13,Alter Bridge,Blackbird,0.5652173913043478,-1.1769911504424777,0.30311614730878217,6.0,0.5254798903107861,-1.0,-0.04761904761904769,-0.2065638196636922,0.1514702032981415,-0.08190266183650967,-0.9343163538873993,0.6969310902658853,1.962793454161934,-1.0,8
14,Thieves Like Us,Drugs in My Body - Designer Drugs Remix,-1.0869565217391304,0.9115044247787607,-0.21246458923512737,7.0,0.8335237659963437,0.0,0.09937888198757762,-0.2202565816153584,0.9192915103394118,1.108836037171208,0.6152815013404824,0.13733356245963127,0.6886519573030428,0.0,6
15,"Kelsea Ballerini, Kenny Chesney",half of my hometown (feat. Kenny Chesney),1.1304347826086956,0.11504424778761022,-0.2294617563739376,10.0,0.4678930530164534,0.0,-0.053830227743271335,0.1657778331045094,0.0,0.18900614269963772,-0.5160857908847184,0.42593788702098295,-25.29375408028782,0.0,4
16,DJ Enimoney,Sugar Daddy,0.13043478260869565,1.5754424778761025,-0.3966005665722377,1.0,-0.8842550274223031,0.0,0.8385093167701863,-0.16341970834574884,8.813890585463746,-0.16380532367301942,-0.18364611260053618,-0.14351997250484444,-0.7282559147643533,0.0,9
17,Attawalpa,Done Hanging On - Joel Wolf Alice Remix,-0.8260869565217391,-0.0707964601769912,0.07648725212464597,5.0,0.5508455210237662,0.0,0.9047619047619049,-0.10306377758632744,15.392723148067358,-0.4038431249015593,-0.32305630026809645,0.23641093406495714,0.7366586218943021,0.0,6
18,Foo Fighters,Run,0.7391304347826086,-0.7964601769911506,0.5467422096317283,4.0,-0.23366087751371092,-1.0,0.6521739130434783,-0.22049291807073532,1.585900008725242,3.9187273586391558,-0.8163538873994637,0.38097382627091053,1.035540084722382,0.0,10
19,The Collective Projekt,Dama Dam Mast Kalandar,-1.4782608695652173,-1.3849557522123894,0.5552407932011334,2.0,0.9550959780621574,0.0,0.09523809523809525,1.207166698752774,0.0,-0.031501023783272984,-0.36863270777479873,1.3127277683296106,-24.70787156584371,0.0,0
20,Mohammed Rafi,All Line Clear,-1.7391304347826086,-0.088495575221239,-0.8611898016997166,6.0,-0.5204524680073126,0.0,0.6211180124223603,1.239227414540249,-0.046592792950004354,0.61742006615215,1.0951742627345844,0.10611707958780982,-25.53199908963421,0.0,3
21,Die Apokalyptischen Reiter,Ghostriders in the Sky,0.2608695652173913,-0.5663716814159294,0.7337110481586403,5.0,0.779136197440585,-1.0,1.5507246376811594,-0.20395813599823798,-0.06395602477968763,-0.11970389037643725,-0.8163538873994637,0.2340169592965031,0.024328909307497246,0.0,8
22,Volbeat,A Warrior's Call,0.782608695652174,-0.756637168141593,0.577903682719547,10.0,0.5766681901279708,0.0,0.7329192546583851,-0.21847413370211344,-0.06830381293080882,0.7245235470152779,-0.13806970509383373,-0.25935516748934884,0.5462904081840738,-1.0,10
23,Danny Weissfeld,חול הים,-0.6956521739130435,-0.5000000000000001,-0.32011331444759206,7.0,-0.13813985374771476,0.0,-0.40165631469979307,0.796849191874335,-0.06832108891021726,0.09450307134981878,-0.7707774798927612,-0.9039269482154816,0.009117295734045561,0.0,9
