iter	MultiClass
0	2.182584556
1	2.036394063
2	1.929210075
3	1.82768182
4	1.756020447
5	1.700231978
6	1.64343132
7	1.594959689
8	1.55938663
9	1.520894449
10	1.487288977
11	1.457759676
12	1.431506349
13	1.407484478
14	1.385002195
15	1.363920052
16	1.346945816
17	1.333182603
18	1.3171801
19	1.301035005
20	1.2861816
21	1.275751246
22	1.263320757
23	1.253711164
24	1.240864888
25	1.227608533
26	1.219916411
27	1.209504031
28	1.202796609
29	1.195470681
30	1.186927848
31	1.17955632
32	1.173721406
33	1.167818391
34	1.160719602
35	1.155355762
36	1.149430508
37	1.142644056
38	1.137964936
39	1.13324688
40	1.129021876
41	1.125103254
42	1.119879894
43	1.114995271
44	1.108830521
45	1.104665867
46	1.100496191
47	1.09582772
48	1.092651596
49	1.087036156
50	1.082649329
51	1.077225075
52	1.073830436
53	1.068986869
54	1.065325245
55	1.061887922
56	1.057879106
57	1.055028298
58	1.053002392
59	1.049428908
60	1.047154367
61	1.044068118
62	1.0409681
63	1.038633743
64	1.035717435
65	1.033146404
66	1.029490193
67	1.028206094
68	1.025617932
69	1.0236344
70	1.02174853
71	1.019801021
72	1.017416325
73	1.014711841
74	1.013324723
75	1.010859571
76	1.008080901
77	1.005957929
78	1.003452956
79	1.001053612
80	0.9986073137
81	0.9970774573
82	0.9943829474
83	0.9929717036
84	0.9911339666
85	0.9884707028
86	0.9866200247
87	0.984096473
88	0.9821585279
89	0.9800576263
90	0.9780542979
91	0.9761125429
92	0.9740530401
93	0.970981526
94	0.9694752128
95	0.9668513485
96	0.9643214333
97	0.9626976484
98	0.9602459661
99	0.9582099432
100	0.9563724827
101	0.9546371638
102	0.9531247357
103	0.9519460317
104	0.949753554
105	0.9485332107
106	0.9453854875
107	0.9432532029
108	0.9418301395
109	0.9403784843
110	0.9388418681
111	0.9377210586
112	0.9366233749
113	0.9351649139
114	0.9340021064
115	0.9325147912
116	0.9312222264
117	0.9298833153
118	0.9285491767
119	0.9275148243
120	0.9259523868
121	0.9242519023
122	0.9233603801
123	0.9222258189
124	0.9210790998
125	0.9202136703
126	0.9187029769
127	0.9162889615
128	0.9141266242
129	0.9131269253
130	0.9110818746
131	0.9098825701
132	0.9085520422
133	0.9071137839
134	0.9056169183
135	0.9044969238
136	0.9037306661
137	0.9024453036
138	0.9009245894
139	0.8993858288
140	0.8984418011
141	0.8973265915
142	0.8960537772
143	0.8946368283
144	0.8926276
145	0.8914407288
146	0.8900137366
147	0.8891086701
148	0.8879912113
149	0.8868467386
150	0.8856870385
151	0.8847709531
152	0.8834593994
153	0.8821432072
154	0.8802986662
155	0.8795305557
156	0.8784689437
157	0.8771061386
158	0.8759265208
159	0.8750708583
160	0.8740530807
161	0.8730023013
162	0.8714597975
163	0.8706076052
164	0.8699421714
165	0.8690388958
166	0.8679304985
167	0.866989983
168	0.8658102965
169	0.8651825306
170	0.8640462525
171	0.862977205
172	0.8619522522
173	0.8605859635
174	0.8599651475
175	0.8580936954
176	0.8573836974
177	0.8570274218
178	0.8556185479
179	0.854501147
180	0.8532498189
181	0.8524847823
182	0.8514795167
183	0.8496873249
184	0.84904127
185	0.8478584592
186	0.8466991323
187	0.8456303162
188	0.8447494275
189	0.8433861653
190	0.8426822154
191	0.8419558076
192	0.8410582305
193	0.8399228694
194	0.8386278451
195	0.8378223637
196	0.8370151452
197	0.8358415427
198	0.8350328884
199	0.8334524661
200	0.8325422924
201	0.8320644676
202	0.8305913053
203	0.8294544475
204	0.8285650989
205	0.827252833
206	0.8262085574
207	0.8255955639
208	0.8242223785
209	0.8232050233
210	0.8220293463
211	0.8213302859
212	0.8203054348
213	0.8198295801
214	0.8189088126
215	0.8179180318
216	0.8168925212
217	0.8154236088
218	0.8144590393
219	0.8138148511
220	0.812865056
221	0.8116966567
222	0.8105663566
223	0.8096650707
224	0.8085560343
225	0.8079653199
226	0.8065424957
227	0.8056856003
228	0.8049562174
229	0.8039825359
230	0.8030197152
231	0.8020053556
232	0.8006869731
233	0.7999829345
234	0.79904107
235	0.79836276
236	0.7974565235
237	0.7970699093
238	0.7964093247
239	0.7952219731
240	0.7945755131
241	0.7937372722
242	0.7928031801
243	0.7918805441
244	0.791436717
245	0.7906435079
246	0.7899669115
247	0.7890153316
248	0.7879999352
249	0.7867222968
250	0.7863727424
251	0.7859066628
252	0.785629437
253	0.7847713361
254	0.7836725673
255	0.7828705217
256	0.7822931265
257	0.7811449183
258	0.779998541
259	0.7794395999
260	0.7787319045
261	0.7778431887
262	0.7771426618
263	0.7765303777
264	0.7756088678
265	0.7748277807
266	0.7739097046
267	0.7731040361
268	0.7724404726
269	0.7717801318
270	0.7709564357
271	0.7703183354
272	0.7695247254
273	0.7685767993
274	0.7675265989
275	0.7670187705
276	0.7664562862
277	0.765516234
278	0.7648203698
279	0.7639567774
280	0.7632084239
281	0.7626009503
282	0.761940969
283	0.7611680216
284	0.7601620717
285	0.7597625388
286	0.7591242872
287	0.758461409
288	0.7574955082
289	0.7566581827
290	0.7558150792
291	0.754900284
292	0.7538642229
293	0.753111586
294	0.7524274832
295	0.7519037003
296	0.7508888773
297	0.7498423873
298	0.7490949246
299	0.7482403436
