iter	Passed	Remaining
0	46	13988
1	93	13885
2	141	14034
3	209	15490
4	254	14997
5	301	14751
6	348	14589
7	395	14438
8	443	14334
9	489	14200
10	539	14170
11	592	14229
12	646	14261
13	693	14158
14	738	14024
15	783	13899
16	832	13860
17	918	14383
18	987	14598
19	1047	14668
20	1097	14579
21	1148	14518
22	1196	14406
23	1241	14279
24	1287	14165
25	1332	14042
26	1380	13956
27	1427	13862
28	1474	13775
29	1523	13714
30	1570	13624
31	1616	13538
32	1661	13440
33	1707	13356
34	1754	13283
35	1799	13199
36	1846	13124
37	1890	13033
38	1936	12957
39	1982	12888
40	2031	12832
41	2076	12757
42	2123	12694
43	2171	12636
44	2221	12586
45	2266	12517
46	2314	12457
47	2362	12403
48	2407	12331
49	2452	12260
50	2497	12192
51	2543	12128
52	2589	12066
53	2632	11993
54	2678	11930
55	2724	11870
56	2770	11812
57	2815	11747
58	2859	11681
59	2906	11625
60	2949	11556
61	2993	11490
62	3037	11426
63	3080	11359
64	3124	11295
65	3168	11234
66	3217	11190
67	3266	11143
68	3309	11078
69	3353	11018
70	3397	10958
71	3443	10904
72	3487	10845
73	3533	10792
74	3578	10735
75	3622	10677
76	3666	10617
77	3710	10560
78	3755	10506
79	3799	10449
80	3845	10397
81	3887	10336
82	3932	10280
83	3974	10221
84	4019	10166
85	4064	10115
86	4110	10063
87	4155	10010
88	4199	9956
89	4245	9906
90	4290	9855
91	4335	9802
92	4378	9746
93	4421	9690
94	4464	9634
95	4511	9587
96	4555	9534
97	4599	9480
98	4641	9424
99	4686	9372
100	4730	9319
101	4773	9266
102	4816	9212
103	4859	9157
104	4903	9105
105	4947	9054
106	4989	9000
107	5034	8950
108	5076	8895
109	5122	8847
110	5166	8797
111	5209	8743
112	5254	8695
113	5298	8645
114	5344	8598
115	5388	8547
116	5431	8495
117	5475	8445
118	5518	8394
119	5563	8345
120	5605	8292
121	5648	8241
122	5693	8192
123	5739	8146
124	5784	8098
125	5829	8050
126	5875	8003
127	5919	7954
128	5962	7904
129	6006	7854
130	6050	7805
131	6095	7757
132	6139	7709
133	6183	7659
134	6228	7612
135	6271	7562
136	6317	7516
137	6363	7469
138	6407	7421
139	6451	7372
140	6493	7322
141	6537	7274
142	6580	7225
143	6625	7177
144	6669	7129
145	6713	7081
146	6761	7036
147	6807	6991
148	6850	6942
149	6894	6894
150	6940	6848
151	6984	6800
152	7026	6751
153	7071	6703
154	7115	6656
155	7164	6613
156	7208	6565
157	7252	6517
158	7296	6470
159	7339	6422
160	7389	6379
161	7433	6332
162	7479	6286
163	7523	6238
164	7567	6191
165	7610	6143
166	7654	6095
167	7696	6047
168	7741	6000
169	7785	5953
170	7830	5907
171	7873	5859
172	7917	5812
173	7961	5765
174	8005	5718
175	8050	5672
176	8093	5624
177	8136	5576
178	8181	5530
179	8226	5484
180	8269	5436
181	8313	5390
182	8357	5343
183	8408	5301
184	8456	5256
185	8501	5210
186	8545	5163
187	8589	5117
188	8634	5070
189	8679	5025
190	8723	4978
191	8766	4931
192	8810	4884
193	8853	4837
194	8897	4790
195	8940	4743
196	8983	4696
197	9027	4650
198	9070	4603
199	9113	4556
200	9157	4510
201	9200	4463
202	9244	4417
203	9289	4371
204	9332	4324
205	9374	4277
206	9420	4232
207	9468	4187
208	9513	4142
209	9556	4095
210	9598	4048
211	9643	4002
212	9686	3956
213	9731	3910
214	9776	3865
215	9821	3819
216	9866	3773
217	9912	3728
218	9956	3682
219	9999	3636
220	10045	3590
221	10087	3544
222	10133	3498
223	10176	3452
224	10220	3406
225	10264	3360
226	10306	3314
227	10350	3268
228	10394	3222
229	10438	3176
230	10488	3132
231	10533	3087
232	10578	3041
233	10622	2996
234	10667	2950
235	10711	2904
236	10754	2858
237	10797	2812
238	10841	2767
239	10888	2722
240	10931	2676
241	10977	2630
242	11022	2585
243	11066	2539
244	11109	2493
245	11153	2448
246	11196	2402
247	11241	2356
248	11284	2311
249	11328	2265
250	11374	2220
251	11423	2175
252	11470	2130
253	11516	2085
254	11559	2039
255	11602	1994
256	11646	1948
257	11690	1903
258	11734	1857
259	11778	1812
260	11820	1766
261	11864	1720
262	11908	1675
263	11951	1629
264	11997	1584
265	12040	1539
266	12083	1493
267	12127	1448
268	12170	1402
269	12215	1357
270	12262	1312
271	12307	1266
272	12350	1221
273	12394	1176
274	12437	1130
275	12480	1085
276	12529	1040
277	12572	994
278	12616	949
279	12661	904
280	12704	859
281	12749	813
282	12796	768
283	12840	723
284	12884	678
285	12929	632
286	12973	587
287	13016	542
288	13061	497
289	13104	451
290	13150	406
291	13192	361
292	13237	316
293	13281	271
294	13328	225
295	13373	180
296	13417	135
297	13463	90
298	13507	45
299	13552	0
